temperature,temp_excursion_magnitude,excursion_duration_min,humidity,delay_minutes,remaining_transit_min,cargo_sensitivity,route_risk,traffic_level,handling_events,refrigeration_condition,distance_km,cargo_type_encoded,spoilage_event
-18.34,0.0,0.0,89.1,1.8,130.7,3,0.341,2,3,1,517.4,0,1
6.55,0.0,0.0,56.6,23.2,74.5,3,0.458,2,3,2,107.8,1,1
5.85,0.0,0.0,58.3,8.9,83.5,3,0.089,3,0,1,60.0,2,0
5.79,0.0,0.0,46.7,31.9,50.3,3,0.125,2,0,2,106.1,2,1
-16.48,0.0,0.0,48.7,9.2,210.2,3,0.723,1,0,1,401.3,0,1
6.54,0.0,0.0,71.1,54.2,143.1,3,0.472,2,1,1,181.9,2,0
-22.77,1.66,18.6,48.3,2.6,70.1,3,0.365,2,3,1,469.4,0,1
1.59,0.0,0.0,76.1,2.5,103.5,2,0.247,1,5,2,53.2,3,1
-2.95,2.37,37.8,55.1,33.4,219.0,2,0.197,2,2,1,443.7,3,1
5.09,0.0,0.0,46.8,11.0,214.5,2,0.319,1,2,1,537.5,4,0
2.49,0.0,0.0,57.1,104.5,30.5,2,0.376,1,1,1,74.6,3,1
7.61,0.0,0.0,70.1,39.0,162.2,3,0.05,1,0,2,527.1,1,1
7.97,0.0,0.0,60.8,26.7,49.4,2,0.243,3,1,1,554.8,4,1
5.51,0.0,0.0,65.5,1.8,62.4,3,0.405,1,0,1,344.7,2,0
3.75,0.0,0.0,75.4,140.2,209.4,3,0.419,1,2,1,206.5,1,1
6.21,0.0,0.0,81.2,32.6,216.4,2,0.417,3,1,1,359.5,4,1
3.68,0.0,0.0,60.3,55.1,33.6,3,0.518,1,0,1,220.8,1,1
-17.5,0.0,0.0,49.3,12.2,211.6,3,0.361,3,1,1,563.3,0,0
7.47,0.0,0.0,66.1,150.0,178.9,3,0.073,3,1,1,349.0,2,1
1.11,0.0,0.0,72.1,150.2,189.5,2,0.469,2,2,3,489.3,3,1
-15.49,0.0,0.0,43.1,30.8,193.2,3,0.144,1,2,1,385.5,0,0
6.69,0.0,0.0,51.6,4.7,129.1,3,0.408,1,0,1,208.6,2,1
-19.89,0.0,0.0,54.2,1.2,228.1,3,0.146,1,2,1,325.1,0,1
4.93,0.93,9.7,61.9,2.3,60.1,2,0.368,1,0,1,533.9,3,1
6.75,0.0,0.0,53.6,114.2,128.6,3,0.289,2,0,2,260.6,2,1
5.25,0.0,0.0,75.6,112.3,86.7,3,0.577,1,0,2,237.7,1,1
3.09,0.0,0.0,40.9,152.8,200.0,3,0.268,3,2,1,576.0,1,1
2.85,0.0,0.0,41.3,60.1,33.6,3,0.432,1,3,2,233.7,2,1
1.16,0.0,0.0,60.0,11.5,112.6,2,0.739,2,0,1,522.7,3,1
6.36,0.0,0.0,62.4,82.1,189.0,2,0.459,1,1,3,148.1,4,1
2.61,0.0,0.0,43.2,45.0,85.3,3,0.19,1,3,1,485.4,2,1
-16.41,0.0,0.0,55.9,44.5,69.1,3,0.14,3,4,2,388.4,0,1
1.9,0.0,0.0,59.0,24.6,74.1,2,0.243,2,0,2,116.1,4,1
1.99,0.0,0.0,59.1,1.4,175.6,2,0.63,2,0,1,85.2,3,0
2.77,0.0,0.0,67.3,97.8,79.5,2,0.135,2,0,1,214.1,3,0
-11.39,3.61,28.6,55.1,97.6,105.6,3,0.216,2,3,3,411.6,0,1
1.56,0.27,3.2,87.2,149.4,137.8,3,0.488,3,0,1,248.1,1,1
6.18,2.18,14.3,72.3,75.8,226.7,2,0.191,1,1,1,199.1,3,1
5.37,0.0,0.0,52.9,48.1,193.7,2,0.292,2,5,1,370.0,4,1
6.03,0.0,0.0,66.4,0.9,56.7,3,0.178,1,0,1,573.9,2,0
5.3,0.0,0.0,66.9,166.1,213.7,2,0.683,2,1,1,117.0,4,1
6.11,0.0,0.0,83.2,45.3,205.1,2,0.63,2,5,2,404.5,4,1
4.62,0.0,0.0,56.0,120.7,182.7,3,0.39,1,0,2,551.8,1,1
8.64,0.0,0.0,76.5,11.1,131.3,2,0.161,2,0,1,347.6,4,0
3.86,0.0,0.0,65.6,24.3,30.7,3,0.593,2,0,3,580.3,1,1
7.83,0.0,0.0,87.4,20.0,175.1,3,0.05,1,1,1,378.8,1,0
0.89,0.07,0.0,84.4,45.1,131.6,2,0.121,3,0,1,419.9,3,1
2.35,0.0,0.0,68.0,147.9,84.7,2,0.309,1,0,1,485.2,3,1
-20.18,0.11,18.8,61.1,94.1,17.2,3,0.165,3,0,1,159.8,0,1
6.14,0.0,0.0,72.6,11.9,67.0,2,0.532,2,1,1,358.1,4,1
-13.89,1.11,14.5,62.3,29.1,151.3,3,0.063,1,2,1,387.8,0,1
4.81,0.0,0.0,90.2,7.5,40.3,2,0.128,1,1,1,116.1,4,1
-17.99,0.0,0.0,66.2,9.7,162.5,3,0.384,2,2,1,300.5,0,0
-0.29,0.77,10.8,58.9,28.4,199.4,2,0.209,3,4,1,473.9,3,1
1.93,0.0,0.0,58.1,56.4,86.6,2,0.066,2,1,1,72.4,3,1
-1.48,1.49,14.0,46.8,58.3,33.4,2,0.359,2,1,1,277.4,3,1
0.22,0.47,8.3,73.3,25.3,46.4,2,0.158,1,0,3,130.1,3,1
5.57,0.0,0.0,52.7,54.6,95.5,3,0.548,3,0,2,146.7,2,1
5.8,1.8,23.2,81.5,74.4,198.0,2,0.477,3,0,2,331.9,3,1
12.02,4.02,48.4,45.6,6.9,157.7,3,0.238,1,1,3,66.2,1,1
1.03,0.0,0.0,66.9,15.6,210.3,2,0.297,3,4,2,283.7,3,1
8.59,0.59,9.1,82.3,164.0,238.7,3,0.277,2,0,1,64.1,2,1
5.61,0.0,0.0,32.7,88.9,60.6,3,0.433,2,0,1,559.1,2,0
4.62,0.0,0.0,95.3,79.2,171.3,3,0.445,2,2,1,535.6,2,1
6.08,0.0,0.0,58.6,0.8,120.0,3,0.348,1,5,1,166.4,2,1
-17.35,0.0,0.0,67.1,35.9,126.0,3,0.254,1,2,1,86.2,0,1
-17.22,0.0,0.0,73.6,82.3,88.3,3,0.546,2,0,1,187.8,0,1
3.98,0.0,0.0,75.9,17.1,92.1,3,0.522,3,1,1,65.6,1,0
-21.0,0.6,17.3,69.1,55.4,167.2,3,0.441,2,0,2,454.1,0,1
1.14,0.52,2.7,80.0,96.7,154.7,3,0.05,1,1,1,365.6,2,0
4.13,0.13,11.3,72.8,13.2,86.7,2,0.339,1,1,3,349.1,3,1
1.81,0.0,0.0,91.4,118.4,41.7,2,0.218,2,2,2,518.6,3,1
3.51,0.0,0.0,72.8,91.3,145.1,3,0.301,2,0,2,495.1,2,1
5.02,0.0,0.0,94.5,0.9,181.4,2,0.135,1,4,1,274.9,4,0
6.99,0.0,0.0,78.5,62.3,140.7,3,0.538,1,0,3,385.7,2,1
-17.05,0.0,0.0,37.9,43.5,15.8,3,0.087,2,0,1,293.0,0,0
0.86,0.08,0.0,98.0,73.2,78.5,2,0.222,1,2,2,393.2,3,1
8.07,0.07,0.0,56.4,63.2,190.2,3,0.147,2,0,1,133.3,2,1
6.45,2.45,37.5,87.4,72.4,182.1,2,0.131,2,0,1,215.0,3,1
6.24,0.0,0.0,65.4,4.8,17.3,3,0.58,1,0,1,188.5,2,1
7.43,0.0,0.0,80.9,150.1,120.8,3,0.404,2,0,2,142.1,2,1
-14.4,0.6,4.0,54.7,68.0,113.4,3,0.57,1,0,2,277.6,0,1
7.83,0.0,0.0,74.4,25.0,161.8,3,0.14,1,2,1,449.6,2,1
4.04,0.04,0.0,61.2,42.9,43.1,2,0.34,3,0,2,267.8,3,1
6.5,0.0,0.0,88.7,5.3,154.8,3,0.507,2,5,1,590.4,1,1
3.8,0.0,0.0,71.6,82.1,228.1,2,0.098,1,2,3,216.1,3,1
-20.24,0.15,12.9,79.0,1.9,98.6,3,0.133,1,2,1,571.5,0,0
6.75,0.0,0.0,32.5,29.0,90.9,3,0.285,1,3,2,156.5,1,1
1.61,0.23,8.2,63.7,177.2,21.4,3,0.345,3,1,2,226.4,2,1
3.01,0.0,0.0,71.2,157.0,27.9,2,0.05,2,0,1,140.2,4,1
8.26,0.26,8.1,68.4,74.9,224.6,3,0.05,2,3,1,180.9,1,1
7.1,0.0,0.0,79.4,59.9,234.5,3,0.624,1,0,1,136.4,1,1
8.72,0.72,21.4,59.5,1.2,16.3,3,0.051,3,0,3,393.7,2,0
4.32,0.0,0.0,65.7,58.8,217.7,2,0.138,3,1,1,160.3,4,1
2.12,0.0,0.0,82.7,4.3,54.1,2,0.362,1,0,2,96.8,4,1
-18.1,0.0,0.0,30.8,172.4,141.3,3,0.214,2,1,3,196.5,0,1
5.26,0.0,0.0,73.8,58.5,167.6,3,0.149,2,5,1,423.1,1,1
5.2,0.0,0.0,60.0,40.6,95.8,2,0.102,2,1,1,285.7,4,1
-14.67,0.33,11.1,51.3,3.4,134.0,3,0.36,1,0,1,135.9,0,0
4.1,0.0,0.0,70.0,49.5,156.2,2,0.709,1,0,1,84.9,4,1
5.88,0.0,0.0,83.4,71.0,58.6,3,0.05,2,0,2,451.1,1,1
2.53,0.0,0.0,80.6,147.0,238.7,2,0.251,2,0,1,437.3,4,1
6.13,0.0,0.0,63.0,8.3,60.9,3,0.748,2,1,2,303.8,1,1
5.01,0.0,0.0,78.1,7.3,17.3,3,0.492,2,2,1,340.3,2,0
0.63,0.22,11.6,78.0,26.6,227.5,2,0.276,1,1,2,182.3,3,0
-18.09,0.0,0.0,63.7,10.9,111.6,3,0.191,2,1,1,316.9,0,1
4.54,0.0,0.0,54.6,83.5,104.7,3,0.354,3,0,1,450.7,2,1
4.32,0.0,0.0,55.5,38.1,77.0,3,0.069,2,0,1,474.3,2,1
6.93,2.93,21.8,77.6,9.6,20.8,2,0.451,3,1,2,237.3,3,1
4.75,0.0,0.0,64.4,74.7,74.5,2,0.611,2,0,1,423.4,4,1
1.89,0.0,0.0,49.3,55.2,103.5,2,0.677,3,0,1,317.6,3,0
-0.24,1.35,12.9,39.7,14.4,132.1,3,0.178,2,1,2,456.6,2,1
2.76,0.0,0.0,77.5,55.1,118.0,3,0.615,1,0,1,429.9,2,1
4.34,0.0,0.0,56.8,11.6,212.8,3,0.634,3,0,1,462.7,2,1
3.29,0.0,0.0,70.0,24.3,220.0,2,0.459,2,0,1,140.7,4,1
8.45,0.45,5.9,83.6,107.9,86.4,3,0.234,3,0,1,227.2,1,1
-17.91,0.0,0.0,45.4,160.3,230.9,3,0.35,2,1,1,195.7,0,1
8.22,0.22,4.5,64.3,21.8,209.6,3,0.139,2,0,1,295.9,1,1
-17.35,0.0,0.0,62.4,29.3,223.7,3,0.328,1,2,1,305.7,0,0
-17.41,0.0,0.0,70.7,6.1,173.9,3,0.113,1,0,1,417.0,0,1
-17.72,0.0,0.0,83.6,45.7,59.6,3,0.342,2,0,1,363.3,0,0
2.51,0.0,0.0,45.1,8.4,58.9,2,0.219,3,0,1,368.9,3,1
6.8,2.8,13.9,73.5,50.0,219.4,2,0.222,3,4,1,398.1,3,1
-3.3,2.58,14.3,80.5,1.6,129.1,2,0.306,2,1,1,200.1,3,1
-0.0,1.2,6.2,62.2,125.2,215.4,3,0.297,2,2,1,174.4,2,1
1.14,0.0,0.0,62.9,148.0,177.1,2,0.348,1,3,2,168.4,3,1
-17.46,0.0,0.0,71.3,30.0,62.8,3,0.252,1,0,1,478.7,0,1
6.73,0.0,0.0,70.2,114.6,101.6,2,0.05,3,1,2,103.5,4,1
6.18,0.0,0.0,73.7,3.7,232.8,3,0.322,2,1,1,223.9,2,1
4.04,0.0,0.0,73.4,147.0,19.4,2,0.126,2,2,1,204.2,4,1
-14.95,0.05,0.0,50.3,5.0,175.8,3,0.405,3,0,2,375.6,0,1
7.58,0.0,0.0,79.9,7.7,235.2,3,0.27,1,4,1,558.3,2,1
2.96,0.0,0.0,82.5,59.3,38.4,2,0.559,3,1,3,533.2,3,0
7.41,0.0,0.0,67.8,44.7,76.2,3,0.351,2,3,1,108.0,2,1
5.68,0.0,0.0,42.6,41.6,138.1,3,0.542,1,0,1,347.1,2,1
-18.9,0.0,0.0,63.3,55.9,204.8,3,0.292,2,0,1,70.5,0,1
6.74,0.0,0.0,67.9,0.7,129.0,3,0.125,1,0,2,485.8,1,1
5.28,0.0,0.0,47.8,12.4,28.4,3,0.384,2,3,1,256.1,1,1
5.0,0.0,0.0,59.6,37.9,43.6,3,0.133,1,0,1,168.2,1,1
6.18,2.18,23.7,43.9,26.7,99.6,2,0.241,1,1,3,316.3,3,1
-3.63,2.78,20.3,74.1,14.3,87.6,2,0.05,2,0,1,289.3,3,1
-1.04,1.23,30.6,67.5,35.5,64.4,2,0.455,2,0,1,568.7,3,1
2.03,0.0,0.0,40.3,29.3,204.0,3,0.683,1,0,1,68.3,1,0
4.09,0.0,0.0,70.3,36.9,21.0,2,0.298,3,2,1,572.5,4,1
-18.14,0.0,0.0,64.2,61.8,201.6,3,0.255,1,0,1,178.9,0,0
1.23,0.46,14.3,72.7,20.1,222.4,3,0.331,2,2,1,129.8,1,0
-19.96,0.0,0.0,59.1,54.0,156.8,3,0.309,2,2,3,458.0,0,1
2.85,0.0,0.0,53.0,46.6,155.7,3,0.69,1,5,1,337.4,1,1
11.14,1.14,9.0,53.4,16.9,48.5,2,0.346,3,1,1,542.6,4,1
9.5,1.5,8.9,56.9,9.2,142.9,3,0.528,2,1,1,348.5,1,1
3.97,0.0,0.0,65.3,2.7,99.4,2,0.564,1,1,1,328.0,4,0
4.09,0.0,0.0,67.2,125.6,66.5,3,0.492,2,0,1,163.4,2,1
-0.37,0.82,13.4,62.1,2.9,146.2,2,0.438,2,1,1,572.4,3,0
0.23,1.06,25.1,58.7,22.1,15.3,3,0.108,1,2,2,415.5,2,0
4.71,0.0,0.0,59.7,53.2,77.2,3,0.261,1,0,1,380.9,1,1
0.01,0.6,3.9,98.0,52.3,162.6,2,0.301,2,0,2,484.5,3,1
4.79,0.0,0.0,53.4,111.0,117.4,2,0.115,2,1,2,105.7,4,1
1.0,0.6,11.8,56.6,42.7,47.8,3,0.349,1,2,1,526.5,1,1
0.6,0.24,0.9,98.0,14.5,15.3,2,0.299,2,0,2,325.3,3,1
5.37,0.0,0.0,71.3,79.4,75.8,3,0.204,1,3,2,491.2,1,1
3.42,0.0,0.0,44.3,55.0,138.5,2,0.27,1,0,1,441.9,3,1
3.54,0.0,0.0,77.6,48.0,135.3,2,0.051,2,0,1,298.2,3,0
1.7,0.18,10.4,51.3,148.3,44.5,3,0.463,1,4,1,473.3,2,1
4.64,0.64,6.6,78.6,51.2,153.1,2,0.515,1,0,1,446.4,3,1
3.0,0.0,0.0,61.8,40.0,239.8,3,0.257,1,1,2,52.0,1,1
-15.92,0.0,0.0,58.4,60.6,146.6,3,0.142,2,3,1,440.1,0,1
-17.53,0.0,0.0,89.1,18.8,133.7,3,0.445,2,0,1,329.8,0,1
1.56,0.26,5.2,73.5,33.9,155.1,3,0.05,2,0,1,511.7,2,1
4.21,0.0,0.0,79.6,1.6,212.9,2,0.282,2,4,3,495.3,4,1
-16.59,0.0,0.0,71.5,12.4,227.8,3,0.101,2,1,1,143.9,0,1
6.53,0.0,0.0,58.3,16.1,24.2,3,0.074,1,4,1,62.0,2,1
2.15,0.0,0.0,74.2,28.5,61.1,2,0.287,1,2,1,158.0,3,1
8.83,0.83,6.2,83.1,58.6,41.0,3,0.567,1,1,3,457.6,1,1
5.02,1.02,16.4,67.0,141.9,188.8,2,0.284,3,0,1,529.2,3,1
4.36,0.0,0.0,92.0,13.8,25.3,3,0.197,1,0,1,435.3,1,0
6.88,0.0,0.0,77.8,157.0,218.1,2,0.092,1,0,1,501.3,4,0
9.83,1.83,8.4,68.2,128.0,19.6,3,0.576,2,0,1,373.0,2,1
9.9,1.9,55.5,68.8,95.7,150.6,3,0.054,2,2,1,328.6,2,1
-20.57,0.34,11.7,67.1,95.8,77.0,3,0.608,3,5,2,583.7,0,1
2.68,0.0,0.0,46.2,165.0,120.9,3,0.187,1,4,2,94.3,2,1
8.71,0.0,0.0,63.6,6.5,114.4,2,0.394,1,4,1,281.7,4,1
-20.15,0.09,0.0,68.3,16.6,183.5,3,0.241,2,0,3,202.9,0,1
-0.81,1.08,20.8,58.8,99.2,126.7,2,0.371,2,1,1,117.1,3,1
3.78,0.0,0.0,70.1,57.1,109.8,3,0.414,3,0,1,383.1,2,1
3.55,0.0,0.0,65.3,1.0,179.3,2,0.349,2,1,1,194.8,3,0
2.24,0.0,0.0,76.6,174.4,223.3,2,0.317,2,4,1,304.6,3,0
3.37,0.0,0.0,74.9,4.5,193.6,3,0.085,1,3,1,125.1,2,1
3.31,0.0,0.0,67.5,50.7,180.8,3,0.647,3,2,1,264.5,1,0
0.72,0.17,4.3,44.5,4.3,124.7,2,0.361,2,0,1,160.1,3,0
-19.7,0.0,0.0,91.9,26.7,217.5,3,0.682,1,1,3,543.3,0,1
10.7,2.7,15.1,62.9,35.3,124.4,3,0.081,2,0,1,337.3,2,1
-16.76,0.0,0.0,63.8,25.0,224.3,3,0.118,2,1,1,489.7,0,1
4.72,0.72,12.0,59.9,159.7,195.7,2,0.069,1,0,1,317.1,3,1
1.28,0.0,0.0,57.7,44.7,48.8,2,0.445,2,2,2,73.3,3,0
-17.96,0.0,0.0,88.2,34.4,25.6,3,0.694,2,0,1,432.0,0,1
0.72,0.17,5.5,85.8,86.8,181.7,2,0.454,1,1,1,76.3,3,1
-1.63,2.18,23.7,71.7,85.8,169.3,3,0.464,3,3,2,267.3,2,1
-0.95,1.17,14.8,63.4,2.5,150.5,2,0.154,3,0,1,350.8,3,0
-22.03,1.22,27.2,74.3,4.4,234.7,3,0.395,1,1,2,478.9,0,1
-23.12,1.87,40.8,66.1,50.7,137.7,3,0.241,2,2,1,544.2,0,1
2.01,0.0,0.0,62.1,90.7,93.3,3,0.338,3,4,2,162.6,2,1
-14.19,0.81,10.7,70.1,49.8,142.1,3,0.167,2,0,1,415.0,0,1
4.89,0.0,0.0,58.4,6.4,21.4,3,0.133,3,1,3,308.6,1,1
5.73,1.73,10.1,68.8,85.8,145.3,2,0.218,1,0,1,472.1,3,1
-16.47,0.0,0.0,68.1,56.2,218.0,3,0.343,2,0,1,566.9,0,0
4.46,0.46,8.2,74.0,21.2,16.0,2,0.671,2,0,2,343.1,3,1
-19.75,0.0,0.0,55.7,91.8,205.2,3,0.05,1,1,1,207.7,0,1
-16.19,0.0,0.0,75.7,175.3,195.4,3,0.19,2,0,1,489.2,0,1
6.82,0.0,0.0,51.4,24.5,38.9,3,0.578,1,1,1,339.7,2,1
1.06,0.0,0.0,56.4,25.1,205.5,2,0.139,1,0,1,535.3,3,0
-16.1,0.0,0.0,57.1,36.0,186.8,3,0.521,1,0,1,361.3,0,0
6.42,0.0,0.0,48.9,31.2,125.5,3,0.604,1,2,1,565.4,1,1
3.63,0.0,0.0,80.2,45.4,70.2,2,0.212,1,0,1,59.6,4,1
2.19,0.0,0.0,50.5,126.9,79.8,2,0.586,1,0,1,456.4,4,1
2.04,0.0,0.0,54.5,37.0,152.8,3,0.282,1,0,2,240.6,2,1
5.22,0.0,0.0,83.8,22.8,70.4,3,0.32,1,0,1,417.7,2,0
5.82,0.0,0.0,56.4,5.6,88.2,3,0.297,1,0,1,568.3,1,0
0.52,0.29,13.1,62.2,103.0,224.4,2,0.47,3,2,1,409.7,3,1
5.07,0.0,0.0,49.8,23.9,179.1,3,0.412,1,1,1,459.7,2,1
6.43,0.0,0.0,77.5,51.2,180.6,3,0.445,2,0,1,136.9,1,1
-15.95,0.0,0.0,77.7,25.6,230.1,3,0.485,1,0,1,143.8,0,1
-13.62,1.38,10.9,76.1,12.3,16.3,3,0.467,1,2,1,365.4,0,1
8.19,0.0,0.0,73.1,149.8,70.0,2,0.629,2,0,2,286.8,4,1
2.5,0.0,0.0,66.1,89.1,163.0,3,0.221,1,0,1,111.1,2,1
9.21,1.21,21.5,57.1,28.5,113.6,3,0.166,2,0,1,450.6,2,1
3.67,0.0,0.0,52.8,54.6,40.4,3,0.155,2,2,1,434.4,2,1
5.11,1.11,7.4,84.3,159.5,190.8,2,0.373,1,1,1,100.4,3,1
-17.33,0.0,0.0,76.5,26.0,25.6,3,0.242,1,0,1,76.8,0,1
-18.53,0.0,0.0,54.6,61.1,137.4,3,0.282,3,0,1,258.3,0,1
0.48,0.91,62.7,65.6,10.8,141.6,3,0.339,1,2,3,398.1,1,1
4.57,0.0,0.0,60.5,1.6,158.1,3,0.46,3,0,1,541.5,2,0
-1.4,1.44,13.9,48.1,59.6,86.0,2,0.279,2,0,1,289.0,3,1
7.42,0.0,0.0,67.7,1.8,20.3,3,0.306,1,2,2,96.3,2,0
8.79,0.79,9.4,58.8,35.3,215.0,3,0.276,1,0,2,512.3,2,1
3.01,0.0,0.0,50.7,107.2,224.1,2,0.05,1,0,1,118.7,4,0
-16.75,0.0,0.0,42.8,12.5,123.4,3,0.255,2,1,1,400.6,0,1
3.19,0.0,0.0,41.5,36.7,19.6,3,0.556,3,1,1,277.4,2,1
3.43,0.0,0.0,59.4,23.0,145.7,3,0.058,1,0,1,550.3,2,1
6.94,0.0,0.0,63.7,154.7,86.1,3,0.207,3,0,1,437.7,2,1
4.9,0.0,0.0,51.9,58.2,56.1,2,0.699,1,0,1,50.1,4,1
9.35,1.35,24.6,74.8,0.5,53.0,3,0.308,1,0,3,255.0,1,1
3.79,0.0,0.0,64.0,30.7,55.3,2,0.469,2,0,1,149.2,4,0
7.5,0.0,0.0,73.7,45.6,89.4,3,0.078,3,0,2,205.9,1,1
5.24,0.0,0.0,62.3,86.3,78.1,3,0.477,2,0,1,269.4,2,1
6.99,0.0,0.0,53.2,37.4,203.2,3,0.113,3,0,1,347.8,2,1
3.88,0.0,0.0,66.7,5.1,126.4,2,0.62,2,0,2,489.1,4,1
4.88,0.0,0.0,46.1,120.6,111.2,3,0.239,3,1,1,97.5,2,0
4.71,0.0,0.0,73.1,29.7,47.8,3,0.573,3,1,1,292.6,1,1
-19.59,0.0,0.0,50.9,12.7,212.1,3,0.129,2,5,1,517.9,0,1
6.66,0.0,0.0,78.8,50.0,27.3,3,0.383,2,1,1,287.7,1,1
6.63,0.0,0.0,59.9,173.0,68.9,2,0.494,2,1,2,335.6,4,1
-16.02,0.0,0.0,80.9,144.0,154.8,3,0.292,3,0,1,478.2,0,1
8.84,0.0,0.0,48.2,0.8,173.0,2,0.533,2,2,2,442.1,4,1
8.62,0.62,18.3,54.8,168.8,195.3,3,0.136,1,1,1,330.5,2,1
-18.44,0.0,0.0,70.7,0.4,107.3,3,0.297,3,2,2,581.9,0,0
5.93,0.0,0.0,82.6,57.7,93.0,3,0.223,2,4,1,69.9,1,1
3.44,0.0,0.0,90.0,20.7,79.9,3,0.229,2,0,1,80.0,2,1
5.06,0.0,0.0,65.6,10.4,142.8,3,0.218,2,3,2,285.0,1,1
-19.0,0.0,0.0,92.6,17.8,93.4,3,0.447,1,1,1,136.8,0,1
6.55,2.55,35.2,60.7,100.0,88.8,2,0.368,2,1,1,169.1,3,1
